Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow
2024/3/1,43,23,33,-1.6,32,0,0,0
2024/3/2,46,34,40,5.2,25,0,1.16,0
2024/3/3,58,44,51,16,14,0,0.32,0
2024/3/4,53,38,45.5,10.3,19,0,0,0
2024/3/5,43,38,40.5,5,24,0,0.16,0
2024/3/6,51,41,46,10.3,19,0,0.37,0
2024/3/7,45,40,42.5,6.6,22,0,1.07,0
2024/3/8,45,34,39.5,3.4,25,0,0,0
2024/3/9,41,32,36.5,0.1,28,0,0.19,0
2024/3/10,52,39,45.5,8.9,19,0,0.92,0
2024/3/11,45,33,39,2.2,26,0,T,T
2024/3/12,55,37,46,8.9,19,0,0,0
2024/3/13,47,37,42,4.7,23,0,0,0
2024/3/14,49,38,43.5,5.9,21,0,0,0
2024/3/15,44,37,40.5,2.7,24,0,0.03,0
2024/3/16,51,39,45,6.9,20,0,0,0
2024/3/17,59,42,50.5,12.1,14,0,0.02,0
2024/3/18,50,37,43.5,4.9,21,0,0,0
2024/3/19,47,34,40.5,1.6,24,0,0,0
2024/3/20,54,33,43.5,4.3,21,0,0.08,T
2024/3/21,40,28,34,-5.5,31,0,0,0
2024/3/22,41,26,33.5,-6.3,31,0,T,T
2024/3/23,43,32,37.5,-2.6,27,0,2.28,T
2024/3/24,42,27,34.5,-5.9,30,0,0,0
2024/3/25,42,33,37.5,-3.2,27,0,0,0
2024/3/26,39,35,37,-4,28,0,0.05,0
2024/3/27,48,39,43.5,2.1,21,0,0.08,0
2024/3/28,51,43,47,5.3,18,0,1.67,0
2024/3/29,51,38,44.5,2.5,20,0,0.54,0
2024/3/30,57,39,48,5.6,17,0,0,0
2024/3/31,60,42,51,8.3,14,0,0,0
2024/4/1,50,38,44,0.9,21,0,0,0
2024/4/2,48,40,44,0.5,21,0,0.02,0
2024/4/3,44,37,40.5,-3.3,24,0,0.6,T
2024/4/4,39,35,37,-7.2,28,0,0.94,0.1
2024/4/5,46,36,41,-3.6,24,0,T,T
2024/4/6,44,37,40.5,-4.5,24,0,0.04,0
2024/4/7,46,37,41.5,-3.9,23,0,T,0
2024/4/8,67,40,53.5,7.8,11,0,0,0
2024/4/9,60,42,51,4.9,14,0,0,0
2024/4/10,58,40,49,2.5,16,0,T,0
2024/4/11,56,44,50,3.1,15,0,0.05,0
2024/4/12,62,49,55.5,8.2,9,0,0.74,0
2024/4/13,57,46,51.5,3.8,13,0,T,0
2024/4/14,60,46,53,4.9,12,0,0.04,T
2024/4/15,73,44,58.5,10,6,0,0,0
2024/4/16,68,49,58.5,9.6,6,0,0,0
2024/4/17,50,42,46,-3.3,19,0,0,0
2024/4/18,47,44,45.5,-4.1,19,0,0.15,0
2024/4/19,54,44,49,-1,16,0,0,0
2024/4/20,60,46,53,2.6,12,0,0.29,0
2024/4/21,52,41,46.5,-4.3,18,0,0,0
2024/4/22,58,41,49.5,-1.6,15,0,0,0
2024/4/23,62,39,50.5,-1,14,0,0,0
2024/4/24,66,37,51.5,-0.3,13,0,T,0
2024/4/25,51,34,42.5,-9.7,22,0,0,0
2024/4/26,51,37,44,-8.5,21,0,0,0
2024/4/27,61,39,50,-2.9,15,0,0,0
2024/4/28,68,45,56.5,3.3,8,0,T,0
2024/4/29,71,50,60.5,7,4,0,0,0
2024/4/30,54,47,50.5,-3.3,14,0,0.09,0
2024/5/1,50,45,47.5,-6.7,17,0,0.05,0
2024/5/2,68,47,57.5,3,7,0,0.1,0
2024/5/3,53,47,50,-4.8,15,0,0,0
2024/5/4,53,47,50,-5.1,15,0,0,0
2024/5/5,53,45,49,-6.4,16,0,0.45,0
2024/5/6,77,49,63,7.4,2,0,0.04,0
2024/5/7,67,56,61.5,5.6,3,0,0,0
2024/5/8,59,50,54.5,-1.7,10,0,0.69,0
2024/5/9,64,49,56.5,0,8,0,0,0
2024/5/10,54,45,49.5,-7.3,15,0,0,0
2024/5/11,54,43,48.5,-8.5,16,0,0,0
2024/5/12,57,44,50.5,-6.8,14,0,0,0
2024/5/13,63,49,56,-1.6,9,0,0,0
2024/5/14,77,51,64,6.2,1,0,0,0
2024/5/15,70,55,62.5,4.4,2,0,0.3,0
2024/5/16,60,53,56.5,-1.9,8,0,0.4,0
2024/5/17,65,52,58.5,-0.1,6,0,0,0
2024/5/18,60,53,56.5,-2.4,8,0,0.61,0
2024/5/19,57,51,54,-5.2,11,0,0.08,0
2024/5/20,60,52,56,-3.5,9,0,0,0
2024/5/21,84,53,68.5,8.8,0,4,0,0
2024/5/22,89,61,75,15,0,10,0,0
2024/5/23,78,65,71.5,11.2,0,7,0.09,0
2024/5/24,85,60,72.5,11.9,0,8,0,0
2024/5/25,72,58,65,4.1,0,0,0,0
2024/5/26,69,60,64.5,3.3,0,0,0.12,0
2024/5/27,74,59,66.5,5,0,2,0.26,0
2024/5/28,84,66,75,13.2,0,10,0.14,0
2024/5/29,77,60,68.5,6.4,0,4,T,0
2024/5/30,60,52,56,-6.4,9,0,1.49,0
2024/5/31,77,54,65.5,2.8,0,1,0,0
2024/6/1,82,56,69,5.9,0,4,0,0
2024/6/2,82,53,67.5,4.1,0,3,0,0
2024/6/3,76,59,67.5,3.8,0,3,0,0
